City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,Idrinskoye,54.3708,92.1358,13.77,95.0,100.0,4.36,RU,1735933320.0
294,Severobaykal'sk,55.65,109.3167,10.02,80.0,100.0,3.71,RU,1735933321.0
295,Yatou,37.15,122.3833,26.55,45.0,0.0,3.13,CN,1735933322.0
296,Mānikpur,25.0667,81.1167,55.72,40.0,0.0,4.09,IN,1735933323.0
297,,,,,,,,,
298,Port Lincoln,-34.7333,135.8667,72.39,49.0,100.0,9.86,AU,1735933325.0
299,Lake Albert,-35.1667,147.3833,68.86,75.0,0.0,1.99,AU,1735933326.0
300,Swakopmund,-22.6833,14.5333,64.6,92.0,100.0,5.03,NA,1735933327.0
301,Lüderitz,-26.6481,15.1594,63.25,92.0,29.0,8.32,NA,1735933328.0
302,Pacific Grove,36.6177,-121.9166,57.65,92.0,100.0,4.61,US,1735933330.0
303,Eraan,9.0629,117.7016,77.54,89.0,19.0,2.68,PH,1735933331.0
304,Puerto San José,13.9256,-90.8244,87.85,61.0,0.0,6.91,GT,1735933332.0
305,Dwārka,22.2394,68.9678,70.47,57.0,0.0,12.03,IN,1735933333.0
306,Xigazê,29.25,88.8833,28.26,28.0,0.0,2.24,CN,1735933334.0
307,Ingeniero Jacobacci,-41.3427,-69.5448,86.43,20.0,83.0,9.66,AR,1735933335.0
308,Tralee,52.2704,-9.7026,34.45,86.0,100.0,3.2,IE,1735933336.0
309,Ýpsonas,34.6884,32.9574,52.77,76.0,0.0,2.3,CY,1735933337.0
310,San Juan,-31.5375,-68.5364,96.89,20.0,1.0,5.82,AR,1735933201.0
311,Kogalym,62.2654,74.4791,8.73,96.0,100.0,8.16,RU,1735933339.0
312,Kristiansund,63.1115,7.732,34.12,93.0,75.0,16.11,NO,1735933341.0
313,Broken Hill,-31.95,141.4333,76.86,15.0,0.0,9.35,AU,1735933342.0
314,Coquimbo,-29.9533,-71.3436,71.98,57.0,40.0,12.66,CL,1735933343.0
315,,,,,,,,,
316,Wenling,28.3669,121.36,43.59,77.0,42.0,7.16,CN,1735933345.0
317,Kapuskasing,49.4169,-82.4331,1.49,85.0,100.0,17.27,CA,1735933346.0
